gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,Yes,No,No,Tenure-high,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,Charge-high,TCharge-high,No
Female,No,Yes,Yes,Tenure-high,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),Charge-low,TCharge-mid,No
Female,No,No,Yes,Tenure-low,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,Charge-high,TCharge-low,Yes
Female,No,Yes,Yes,Tenure-mid,No,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,Charge-mid,TCharge-mid,No
Female,No,Yes,No,Tenure-low,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),Charge-high,TCharge-mid,Yes
Female,No,No,No,Tenure-high,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),Charge-high,TCharge-high,No
Female,No,Yes,No,Tenure-high,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),Charge-low,TCharge-mid,No
Male,No,No,No,Tenure-low,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),Charge-high,TCharge-mid,No
Female,No,Yes,No,Tenure-high,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),Charge-mid,TCharge-high,No
Female,No,Yes,Yes,Tenure-high,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),Charge-low,TCharge-mid,No
Female,No,Yes,Yes,Tenure-high,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Mailed check,Charge-low,TCharge-mid,No
Male,No,Yes,No,Tenure-mid,No,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,Charge-low,TCharge-mid,No
Male,No,Yes,Yes,Tenure-high,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),Charge-high,TCharge-high,No
Male,Yes,No,No,Tenure-low,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,Charge-high,TCharge-low,No
Male,No,Yes,Yes,Tenure-high,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,Charge-high,TCharge-high,No
Female,No,No,No,Tenure-high,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),Charge-high,TCharge-high,No
Male,No,No,No,Tenure-high,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),Charge-high,TCharge-high,No
Female,No,No,No,Tenure-mid,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,Charge-high,TCharge-mid,Yes
Male,No,Yes,Yes,Tenure-high,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),Charge-mid,TCharge-high,No
Male,No,No,No,Tenure-low,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,Charge-low,TCharge-low,Yes
Male,No,No,No,Tenure-high,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),Charge-low,TCharge-mid,No
Female,Yes,Yes,No,Tenure-mid,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,Charge-high,TCharge-high,Yes
Male,No,No,No,Tenure-low,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,Charge-low,TCharge-low,No
Female,No,Yes,Yes,Tenure-low,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,Charge-low,TCharge-low,No
Male,No,No,No,Tenure-high,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),Charge-high,TCharge-high,No
Female,Yes,Yes,No,Tenure-high,No,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),Charge-mid,TCharge-high,No
Male,No,Yes,No,Tenure-high,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),Charge-high,TCharge-high,Yes
Male,No,No,No,Tenure-low,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,Charge-low,TCharge-low,No
Female,No,Yes,Yes,Tenure-high,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,Charge-high,TCharge-high,No
Female,No,No,No,Tenure-high,No,No,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,Charge-low,TCharge-mid,No
Male,No,No,No,Tenure-high,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,Charge-high,TCharge-high,No
Male,No,Yes,Yes,Tenure-high,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),Charge-low,TCharge-mid,No
Male,No,Yes,No,Tenure-high,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,Charge-high,TCharge-high,Yes
Female,No,No,No,Tenure-high,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),Charge-mid,TCharge-high,No
Female,No,No,No,Tenure-high,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,Charge-high,TCharge-high,No
Female,Yes,Yes,No,Tenure-high,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Charge-high,TCharge-high,Yes
Female,No,Yes,Yes,Tenure-high,No,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,Charge-mid,TCharge-high,No
Male,No,Yes,Yes,Tenure-low,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,Charge-high,TCharge-low,No
Female,No,No,No,Tenure-high,No,No,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),Charge-low,TCharge-mid,No
Female,No,Yes,Yes,Tenure-mid,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,Charge-high,TCharge-mid,Yes
Female,No,No,No,Tenure-high,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,Charge-low,TCharge-mid,No
Male,No,Yes,Yes,Tenure-mid,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),Charge-high,TCharge-high,No
Female,No,Yes,Yes,Tenure-high,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),Charge-high,TCharge-high,No
Female,No,No,No,Tenure-low,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,Charge-low,TCharge-low,No
Male,No,No,No,Tenure-low,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Charge-high,TCharge-low,Yes
Female,No,Yes,Yes,Tenure-low,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,Charge-mid,TCharge-low,No
Female,No,Yes,Yes,Tenure-low,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,Charge-low,TCharge-low,No
Male,No,No,No,Tenure-high,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,Charge-high,TCharge-high,No
Female,Yes,No,No,Tenure-mid,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,Charge-high,TCharge-high,Yes
Male,No,Yes,No,Tenure-high,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),Charge-low,TCharge-high,No
Male,No,No,No,Tenure-low,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,Charge-low,TCharge-low,No
Male,Yes,No,No,Tenure-high,No,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,Charge-mid,TCharge-high,No
Female,No,No,No,Tenure-mid,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,Charge-high,TCharge-mid,No
Female,No,Yes,Yes,Tenure-mid,No,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),Charge-mid,TCharge-high,Yes
Male,No,No,No,Tenure-high,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),Charge-mid,TCharge-high,No
Male,No,No,No,Tenure-low,No,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,Charge-mid,TCharge-low,Yes
Male,No,No,No,Tenure-low,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,Charge-mid,TCharge-low,Yes
Female,No,No,No,Tenure-high,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),Charge-low,TCharge-mid,No
Female,No,No,No,Tenure-mid,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),Charge-high,TCharge-high,No
Female,No,Yes,Yes,Tenure-high,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,Charge-low,TCharge-mid,No
Male,No,No,Yes,Tenure-high,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Mailed check,Charge-low,TCharge-mid,No
Female,Yes,Yes,No,Tenure-low,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,Charge-high,TCharge-low,Yes
Female,Yes,Yes,Yes,Tenure-high,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),Charge-high,TCharge-high,No
Female,No,No,No,Tenure-low,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,Charge-high,TCharge-mid,Yes
Female,No,Yes,No,Tenure-high,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),Charge-high,TCharge-high,No
Male,No,No,No,Tenure-high,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),Charge-high,TCharge-high,No
Male,Yes,Yes,No,Tenure-high,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),Charge-low,TCharge-high,No
Female,No,Yes,Yes,Tenure-high,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),Charge-high,TCharge-high,No
Male,No,No,No,Tenure-low,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,Charge-low,TCharge-low,No
Male,No,No,No,Tenure-low,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Charge-mid,TCharge-low,Yes
Male,No,No,Yes,Tenure-high,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),Charge-mid,TCharge-high,No
Male,No,Yes,Yes,Tenure-mid,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,Charge-mid,TCharge-mid,No
Female,No,Yes,Yes,Tenure-low,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,Charge-mid,TCharge-mid,No
Male,No,No,No,Tenure-low,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,Charge-high,TCharge-mid,Yes
Female,No,Yes,Yes,Tenure-high,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),Charge-high,TCharge-high,No
Male,No,Yes,Yes,Tenure-high,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,Charge-high,TCharge-high,No
Female,No,Yes,Yes,Tenure-low,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,Charge-low,TCharge-low,No
Female,No,Yes,Yes,Tenure-mid,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),Charge-high,TCharge-mid,No
Female,No,No,No,Tenure-mid,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),Charge-high,TCharge-high,No
Male,No,Yes,Yes,Tenure-mid,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,Charge-low,TCharge-mid,No
Male,No,Yes,Yes,Tenure-mid,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,Charge-mid,TCharge-mid,No
Male,No,No,No,Tenure-mid,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),Charge-low,TCharge-low,No
Female,No,No,Yes,Tenure-mid,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,Charge-mid,TCharge-mid,No
Female,No,Yes,No,Tenure-mid,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,Charge-high,TCharge-high,Yes
Female,No,No,No,Tenure-low,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Charge-mid,TCharge-low,No
Male,No,No,No,Tenure-high,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),Charge-high,TCharge-high,No
Female,No,Yes,Yes,Tenure-mid,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,Charge-low,TCharge-low,No
Male,No,Yes,No,Tenure-high,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,Charge-low,TCharge-mid,No
Female,No,No,No,Tenure-low,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),Charge-high,TCharge-low,Yes
Male,No,Yes,No,Tenure-high,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),Charge-high,TCharge-high,No
Male,Yes,Yes,No,Tenure-high,No,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,Charge-mid,TCharge-high,Yes
Female,No,Yes,Yes,Tenure-mid,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,Charge-low,TCharge-low,No
Male,No,Yes,No,Tenure-high,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),Charge-high,TCharge-high,No
Female,No,Yes,No,Tenure-low,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,Charge-high,TCharge-low,Yes
Male,No,Yes,No,Tenure-mid,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,Charge-high,TCharge-mid,No
Female,No,Yes,No,Tenure-high,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),Charge-high,TCharge-high,Yes
Female,No,No,No,Tenure-high,Yes,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),Charge-low,TCharge-mid,No
